Terror_Group,Region,Successful_Attacks,Total_Incidents
Communists_Southeast Asia,Southeast Asia,9,9
Concerned Militant Leaders (CML)_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Congolese Patriotic Resistence-Patriotic Armed Forces (Pareco/FAP)_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Congolese Rally for Democracy (RCD)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Conqueror Army_Middle East & North Africa,Middle East & North Africa,2,2
Conspiracy of Cells of Fire_South America,South America,2,2
Conspiracy of Cells of Fire_Western Europe,Western Europe,37,55
Conspiracy of Vengeful Arsonists_Western Europe,Western Europe,1,1
Continuity Irish Republican Army (CIRA)_Western Europe,Western Europe,12,16
Convention of Patriots for Justice and Peace_Sub-Saharan Africa,Sub-Saharan Africa,7,8
Coordination Committee (CORCOM)_South Asia,South Asia,20,21
Coordination of Azawad Movements (CMA)_Sub-Saharan Africa,Sub-Saharan Africa,12,13
Core Conspirators for the Extension of Chaos (Núcleo de Conspiradores por la Extensión de Kaos)_South America,South America,1,1
Corsican National Liberation Front (FLNC)_Western Europe,Western Europe,114,122
Corsican Nationalists_Western Europe,Western Europe,7,7
Corsican Separatists_Western Europe,Western Europe,0,1
Cossack Separatists_Eastern Europe,Eastern Europe,8,8
Council for Justice in Azawad_Sub-Saharan Africa,Sub-Saharan Africa,0,1
Council for the Destruction of Order_Western Europe,Western Europe,1,1
Court Reform extremists_North America,North America,1,1
Croat Democratic Union_Eastern Europe,Eastern Europe,1,1
Crypteia_Western Europe,Western Europe,3,3
Cyrenaica Self-Defense Force_Middle East & North Africa,Middle East & North Africa,2,2
Dagestani Shari'ah Jamaat_Eastern Europe,Eastern Europe,5,5
Dashmesh Regiment_South Asia,South Asia,1,1
David Yau Yau Militia_Sub-Saharan Africa,Sub-Saharan Africa,6,6
Dayak gang_Southeast Asia,Southeast Asia,1,1
Death Squad_South America,South America,2,2
Death Squad (Iraq)_Middle East & North Africa,Middle East & North Africa,1,1
Deccan Mujahideen_South Asia,South Asia,8,8
Defenders of the Nation's Sovereignty_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Delta Democratic Militia_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Democratic Front for the Liberation of Palestine (DFLP)_Middle East & North Africa,Middle East & North Africa,18,20
Democratic Front for the Liberation of Rwanda (FDLR)_Sub-Saharan Africa,Sub-Saharan Africa,94,99
Democratic Front of the Central African People (FDPC)_Sub-Saharan Africa,Sub-Saharan Africa,9,9
Democratic Iraqi Opposition of Germany_Western Europe,Western Europe,1,1
Democratic Karen Buddhist Army (DKBA)_Southeast Asia,Southeast Asia,7,7
Democratic Movement for the Liberation of the Eritrean Kunamas (DMLEK)_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Democratic Youth Federation of India (DYFI)_South Asia,South Asia,2,2
Deniers of Holidays_Western Europe,Western Europe,1,1
Detonators of Social Uprisings_Western Europe,Western Europe,1,1
Devrimici Halk Kurtulus Cephesi (DHKP/C)_Middle East & North Africa,Middle East & North Africa,24,31
Didier Ratsiraka's Militia_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Dima Halao Daoga (DHD)_South Asia,South Asia,18,20
Dima Hasao National Army_South Asia,South Asia,1,1
Diraa al-Shahbaa Rebel Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Dissident_Western Europe,Western Europe,0,1
Dissident Republican Guard_Middle East & North Africa,Middle East & North Africa,1,1
Dissident Republicans_Western Europe,Western Europe,49,95
Diyala Salvation Council_Middle East & North Africa,Middle East & North Africa,1,1
Donetsk People's Republic_Eastern Europe,Eastern Europe,579,624
Donskoy Army_Eastern Europe,Eastern Europe,3,4
Draa El Mizan Seriat_Middle East & North Africa,Middle East & North Africa,2,2
Dravidar Viduthalai Kazhagam (DVK)_South Asia,South Asia,3,3
Dynamic Youth Forum_South Asia,South Asia,2,2
Earth Liberation Front (ELF)_South America,South America,1,1
Earth Liberation Front (ELF)_Western Europe,Western Europe,1,1
Earth Liberation Front (ELF)_North America,North America,53,62
Economic Freedom Fighters_Sub-Saharan Africa,Sub-Saharan Africa,7,7
Ed'daoua Es'salafia Lilqadha_Middle East & North Africa,Middle East & North Africa,1,1
Egbema National Front_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Egyptian Tawhid and Jihad_Middle East & North Africa,Middle East & North Africa,2,2
Egyptians_Middle East & North Africa,Middle East & North Africa,1,1
Ejercito Revolucionario Guevarista (Guevarist Revolutionary Army)_South America,South America,1,1
El-Feth katibat_Middle East & North Africa,Middle East & North Africa,1,1
English Defense League (EDL)_Western Europe,Western Europe,1,1
Enraged Revolutionaries_Western Europe,Western Europe,1,1
Environmentalists_North America,North America,3,4
Enyele Militia_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Epanastatiki Anatropi (Revolutionary Overthrow)_Western Europe,Western Europe,1,1
Equilibrio Nacional_South America,South America,1,1
Eritrean Salvation Front (ESF)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Erotic Anti-authority Cells_Western Europe,Western Europe,1,1
Ethiopians_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Etnocacerista Movement_South America,South America,1,1
Extremists_Middle East & North Africa,Middle East & North Africa,2,2
Extremists_Southeast Asia,Southeast Asia,1,1
Extremists_Eastern Europe,Eastern Europe,0,1
Fajr al-Umma Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Farmer's Movement of the Philippines (KMP)_Southeast Asia,Southeast Asia,2,2
Fatah al-Islam_Middle East & North Africa,Middle East & North Africa,4,4
Fatah Hawks_Middle East & North Africa,Middle East & North Africa,1,1
Fatoni Warriors_Southeast Asia,Southeast Asia,1,1
February 14th Movement_Middle East & North Africa,Middle East & North Africa,5,5
February 17 Martyrs Brigade_Middle East & North Africa,Middle East & North Africa,6,6
Fedayeen Imam Mahdi_South Asia,South Asia,1,1
Federation of Students and Scholars of Cote d'Ivoire (FESCI)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Feminist extremists_Western Europe,Western Europe,1,1
Fetullah Terrorist Organization_Middle East & North Africa,Middle East & North Africa,1,1
Fezzan Province of the Islamic State_Middle East & North Africa,Middle East & North Africa,9,10
Fight Xenophobia_Western Europe,Western Europe,1,1
Fighters of Democratic Latvia_Eastern Europe,Eastern Europe,1,1
Fighting For Freedom Coalition (FFFC-Ottawa)_North America,North America,1,1
Fire and Flame for the Police (FFdP)_Western Europe,Western Europe,2,2
First Capital Command (PCC)_South America,South America,0,1
First of October Antifascist Resistance Group (GRAPO)_Western Europe,Western Europe,11,14
Forbidden Blockade (Greece)_Western Europe,Western Europe,1,1
Force Etudiante Critique_North America,North America,0,1
Forces for the Defense of Democracy (FDD)_Sub-Saharan Africa,Sub-Saharan Africa,5,5
Forces for the Unification of the Central African Republic (FIRCA)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Former Soldiers/Police_Eastern Europe,Eastern Europe,1,1
Four Martyrs Brigade_Middle East & North Africa,Middle East & North Africa,0,1
Free Aceh Movement (GAM)_Southeast Asia,Southeast Asia,90,104
Free and Democratic Society of Eastern Kurdistan (KODAR)_Middle East & North Africa,Middle East & North Africa,1,1
Free Balochistan Army (FBA)_South Asia,South Asia,1,1
Free Democratic People's Government of Laos_Southeast Asia,Southeast Asia,1,1
Free Libya Martyrs Brigade_Middle East & North Africa,Middle East & North Africa,3,3
Free Network South (Freies Netz Sued)_Western Europe,Western Europe,1,1
Free Papua Movement (OPM-Organisasi Papua Merdeka)_Southeast Asia,Southeast Asia,33,36
Free Syrian Army_Middle East & North Africa,Middle East & North Africa,111,120
Free Vietnam Movement_Southeast Asia,Southeast Asia,0,1
Freedom Eagles of Africa_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Freital Group_Western Europe,Western Europe,2,3
French Armed Islamic Front_Western Europe,Western Europe,0,1
Friends of Freedom_Eastern Europe,Eastern Europe,2,2
Friends of Loukanikos_Western Europe,Western Europe,1,1
Front for Peace and Reconciliation (FRP)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Front for the Liberation of Cabinda / Cabinda Armed Forces (FLEC-FAC)_Sub-Saharan Africa,Sub-Saharan Africa,5,5
Front for the Liberation of the Enclave of Cabinda (FLEC)_Sub-Saharan Africa,Sub-Saharan Africa,4,4
Front for the Restoration of Unity and Democracy_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Fuerzas Armadas Revolucionarias del Pueblo (FARP)_North America,North America,3,3
Fuerzas Autonómicas y Destructivas León Czolgoscz_South America,South America,1,1
Fulani extremists_Sub-Saharan Africa,Sub-Saharan Africa,506,511
Fundamentalists_Middle East & North Africa,Middle East & North Africa,1,1
Future movement (Lebanon)_Middle East & North Africa,Middle East & North Africa,1,1
Gangs of Conscience_Western Europe,Western Europe,2,2
Garo National Liberation Army_South Asia,South Asia,138,166
Gathering to Aid the Oppressed_Middle East & North Africa,Middle East & North Africa,1,1
Gbagbo Loyalists_Sub-Saharan Africa,Sub-Saharan Africa,14,18
German Resistance Movement_Western Europe,Western Europe,2,2
Ghniwah Militia_Middle East & North Africa,Middle East & North Africa,1,1
Gholam Yahya Akbar_South Asia,South Asia,1,1
Gilad Shalhevet Brigades_Middle East & North Africa,Middle East & North Africa,1,1
Global Intifada_Western Europe,Western Europe,3,3
God's Army_Southeast Asia,Southeast Asia,2,2
Golden Dawn_Western Europe,Western Europe,1,1
Gono Bahini (GB)_South Asia,South Asia,2,2
Good Vision Party (India)_South Asia,South Asia,1,1
Gorkha Janmukti Morcha (GJM)_South Asia,South Asia,66,67
Gorkha Liberation Army (GLA)_South Asia,South Asia,7,9
Government Supporters_South Asia,South Asia,1,1
Government Supporters_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Government Supporters_South America,South America,1,1
Great Eastern Islamic Raiders Front (IBDA-C)_Middle East & North Africa,Middle East & North Africa,8,9
Greater Damascus Operations Room_Middle East & North Africa,Middle East & North Africa,2,2
Group of Carlo Giuliani_Western Europe,Western Europe,1,1
Group of Popular Fighters_Western Europe,Western Europe,6,8
Group of the Fatima Church Attack_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Groups for Dissemination of Revolutionary Theory and Action_Western Europe,Western Europe,1,1
Groups of Martyr Baha Eleyan_Middle East & North Africa,Middle East & North Africa,1,1
Grozny Jamaat_Eastern Europe,Eastern Europe,1,1
Grupo de Combatientes Populares_South America,South America,0,1
Guadalcanal Liberation Front (GLF)_Australasia & Oceania,Australasia & Oceania,1,1
Guerrillas_South Asia,South Asia,1,1
Guerrillas_Eastern Europe,Eastern Europe,0,1
Gugama Youth Federation_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Gulf Cartel_North America,North America,1,1
Gunib Group_Eastern Europe,Eastern Europe,0,1
Gunmen_Middle East & North Africa,Middle East & North Africa,87,95
Gunmen_South Asia,South Asia,45,49
Gunmen_Sub-Saharan Africa,Sub-Saharan Africa,21,22
Gunmen_Southeast Asia,Southeast Asia,16,16
Gunmen_Eastern Europe,Eastern Europe,19,21
Gunmen_South America,South America,20,21
Gunmen_North America,North America,2,2
Habi's Er'roub seriat_Middle East & North Africa,Middle East & North Africa,1,1
Habr Gedir Clan_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Hadramawt Province of the Islamic State_Middle East & North Africa,Middle East & North Africa,13,16
Hadramawt Tribes Alliance_Middle East & North Africa,Middle East & North Africa,3,3
Hafeez Brohi Group_South Asia,South Asia,1,1
Hafiz Gul Bahadur Group_South Asia,South Asia,1,1
Haftar Militia_Middle East & North Africa,Middle East & North Africa,24,25
Haika_Western Europe,Western Europe,1,1
Haji Fateh_South Asia,South Asia,1,1
Halqa-e-Mehsud_South Asia,South Asia,23,23
Hamas (Islamic Resistance Movement)_Middle East & North Africa,Middle East & North Africa,268,315
Hamas (Islamic Resistance Movement)_North America,North America,1,1
Hamza Combat Group against Atheism and Heresy_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Haqqani Network_South Asia,South Asia,68,86
Harakat al-Nujaba_Middle East & North Africa,Middle East & North Africa,1,1
Harakat Ansar Iran (HAI)_Middle East & North Africa,Middle East & North Africa,1,1
Harakat ul-Mujahidin (HuM)_South Asia,South Asia,0,1
Harakat ul-Mujahidin Al-Almi_South Asia,South Asia,1,1
Harkatul Jihad-e-Islami_South Asia,South Asia,17,17
Hasam Movement_Middle East & North Africa,Middle East & North Africa,13,16
Hassan Mabkhut Group_Middle East & North Africa,Middle East & North Africa,2,2
Hay Andalus Defense Operations Room_Middle East & North Africa,Middle East & North Africa,1,1
Hay'at Tahrir al-Sham_Middle East & North Africa,Middle East & North Africa,38,40
Hekla Reception Committee-Initiative for More Social Eruptions_Western Europe,Western Europe,1,5
Hezbollah_Middle East & North Africa,Middle East & North Africa,65,76
Hezbollah_Eastern Europe,Eastern Europe,1,1
Hezbollah Palestine_Middle East & North Africa,Middle East & North Africa,1,1
High Council for the Unity of Azawad (HCUA)_Sub-Saharan Africa,Sub-Saharan Africa,4,4
Hijaz Province of the Islamic State_Middle East & North Africa,Middle East & North Africa,5,6
Hill Tiger Force (HTF)_South Asia,South Asia,4,4
Himali Tigers_South Asia,South Asia,1,1
Hindu extremists_South Asia,South Asia,11,11
Hindu Illaignar Sena_South Asia,South Asia,2,2
Hindu Morcha Nepal_South Asia,South Asia,3,4
Hizb al-Tahrir al-Islami (HT)_South Asia,South Asia,1,1
Hizb al-Tahrir al-Islami (HT)_Western Europe,Western Europe,0,1
Hizballah-Iraq_Middle East & North Africa,Middle East & North Africa,1,1
Hizb-I-Islami_South Asia,South Asia,37,37
Hizbul al Islam (Somalia)_Sub-Saharan Africa,Sub-Saharan Africa,17,18
Hizbul Mujahideen (HM)_South Asia,South Asia,162,179
Hmar People's Convention-Democracy (HPC-D)_South Asia,South Asia,4,6
Hofstad Network_Western Europe,Western Europe,1,1
Holders of the Black Banners_Middle East & North Africa,Middle East & North Africa,1,1
Hoodie Wearers_Western Europe,Western Europe,1,1
Houthi extremists (Ansar Allah)_Middle East & North Africa,Middle East & North Africa,896,1062
Hushaysh Tribal Members_Middle East & North Africa,Middle East & North Africa,0,1
Hutu extremists_Sub-Saharan Africa,Sub-Saharan Africa,26,26
Hutu extremists_Western Europe,Western Europe,1,1
Hutus Former Soldiers_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Hynniewtrep National Liberation Council (HNLC)_South Asia,South Asia,4,5
Iconoclasts_Western Europe,Western Europe,0,1
Ijaw extremists_Sub-Saharan Africa,Sub-Saharan Africa,15,15
Illuminating Paths of Solidarity_Western Europe,Western Europe,6,6
Imam Hussein Brigade_Middle East & North Africa,Middle East & North Africa,2,2
Imam Shamil Battalion_Eastern Europe,Eastern Europe,1,2
Incel extremists_North America,North America,3,3
Incendiary Committee of Solidarity for Detainees_Western Europe,Western Europe,1,1
Indian Mujahideen_South Asia,South Asia,44,52
Indigenous People of Biafra (IPOB)_Sub-Saharan Africa,Sub-Saharan Africa,3,4
Indigenous People's Federal Army (IPFA)_Southeast Asia,Southeast Asia,0,1
Indigenous People's Front of Tripura (IPFT)_South Asia,South Asia,1,1
Individuals Tending Toward Savagery_South America,South America,0,1
Individuals Tending Toward Savagery_North America,North America,2,2
Informal Anarchist Federation_South America,South America,2,2
Informal Anarchist Federation_Western Europe,Western Europe,29,40
Informal Anarchist Federation_Australasia & Oceania,Australasia & Oceania,3,3
Informal Feminist Commando for Anti-authoritarian Action_North America,North America,1,1
Ingush Rebels_Eastern Europe,Eastern Europe,2,2
Initiative de Resistance Internationaliste_North America,North America,1,1
Insurgents_Middle East & North Africa,Middle East & North Africa,1,1
Insurgents_South Asia,South Asia,5,5
Insurgents_Southeast Asia,Southeast Asia,3,3
International Revolutionary Front_Western Europe,Western Europe,2,2
International Solidarity_Western Europe,Western Europe,0,2
Intifada Martyrs_Middle East & North Africa,Middle East & North Africa,1,1
Iparretarrak (IK)_Western Europe,Western Europe,2,3
Iraqi extremists_Middle East & North Africa,Middle East & North Africa,6,6
Iraqi extremists_Southeast Asia,Southeast Asia,0,1
Iraqi extremists_Western Europe,Western Europe,2,2
Iraqi extremists_North America,North America,1,1
Iraqi Sunni Extremists_Middle East & North Africa,Middle East & North Africa,1,1
Iraq's Jihadist Leagues_Middle East & North Africa,Middle East & North Africa,3,3
Irish National Liberation Army (INLA)_Western Europe,Western Europe,2,2
Irish Republican Army (IRA)_Western Europe,Western Europe,10,15
Irish Republican Extremists_Western Europe,Western Europe,13,16
Irrintzi_Western Europe,Western Europe,1,1
Isatabu Freedom Movement (IFM)_Australasia & Oceania,Australasia & Oceania,1,1
Islambouli Brigades of al-Qaida_South Asia,South Asia,1,1
Islambouli Brigades of al-Qaida_Eastern Europe,Eastern Europe,4,4
Islami Jamiat-e-Talaba (IJT)_South Asia,South Asia,2,2
Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq)_Middle East & North Africa,Middle East & North Africa,7,7
Islamic Companies_Middle East & North Africa,Middle East & North Africa,1,1
Islamic Courts Union (ICU)_Sub-Saharan Africa,Sub-Saharan Africa,11,12
Islamic Defenders' Front (FPI)_Southeast Asia,Southeast Asia,2,2
Islamic Fateh_South Asia,South Asia,1,1
Islamic Front_South Asia,South Asia,4,5
Islamic Front (Syria)_Middle East & North Africa,Middle East & North Africa,35,35
Islamic Jihad Brigades_Middle East & North Africa,Middle East & North Africa,1,1
Islamic Movement (Nigeria)_Sub-Saharan Africa,Sub-Saharan Africa,0,1
Islamic Movement for the Liberation of Raja_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Islamic Movement of Iraqi Mujahidin_Middle East & North Africa,Middle East & North Africa,1,1
Islamic Movement of Kashmir_South Asia,South Asia,1,2
Islamic Movement of Uzbekistan (IMU)_South Asia,South Asia,2,2
Islamic Party (Somalia)_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Islamic Shashantantra Andolon (ISA)_South Asia,South Asia,2,2
Islamic State in Bangladesh_South Asia,South Asia,34,35
Islamic State in Egypt_Middle East & North Africa,Middle East & North Africa,21,22
Islamic State in the Greater Sahara (ISGS)_Sub-Saharan Africa,Sub-Saharan Africa,8,8
Islamic State of Iraq (ISI)_Middle East & North Africa,Middle East & North Africa,140,145
Islamic State of Iraq and the Levant (ISIL)_Middle East & North Africa,Middle East & North Africa,4711,5563
Islamic State of Iraq and the Levant (ISIL)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Islamic State of Iraq and the Levant (ISIL)_Southeast Asia,Southeast Asia,27,28
Islamic State of Iraq and the Levant (ISIL)_Eastern Europe,Eastern Europe,4,4
Islamic State of Iraq and the Levant (ISIL)_Western Europe,Western Europe,15,15
Islamic State of Iraq and the Levant (ISIL)_Australasia & Oceania,Australasia & Oceania,0,1
Islamic Swords of Justice in the Land of Ribat_Middle East & North Africa,Middle East & North Africa,1,1
Islamic Tendency_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Islamic Unification Movement_Middle East & North Africa,Middle East & North Africa,2,2
Islamic Youth Shura Council_Middle East & North Africa,Middle East & North Africa,3,3
Islamist extremists_Middle East & North Africa,Middle East & North Africa,11,11
Islamist extremists_South Asia,South Asia,3,3
Islamist extremists_Southeast Asia,Southeast Asia,1,1
Islamist extremists_Eastern Europe,Eastern Europe,2,2
Israeli extremists_Middle East & North Africa,Middle East & North Africa,30,32
Israeli settlers_Middle East & North Africa,Middle East & North Africa,28,32
Itsekiri_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Izberbash Gang_Eastern Europe,Eastern Europe,0,1
Jabha East Africa_Sub-Saharan Africa,Sub-Saharan Africa,16,17
Jacinto Araujo Internationalist Rebel Insurrectionist Brigade_South America,South America,1,1
Jadid Al-Qaida Bangladesh (JAQB)_South Asia,South Asia,1,3
Jai Shri Ram Hindu Bhai Group_South Asia,South Asia,1,1
Jaish al-Adl_Middle East & North Africa,Middle East & North Africa,14,14
Jaish al-Fatah (Syria)_Middle East & North Africa,Middle East & North Africa,15,15
Jaish al-Islam (Libya)_Middle East & North Africa,Middle East & North Africa,1,1
Jaish al-Muhajireen wal-Ansar (Muhajireen Army)_Middle East & North Africa,Middle East & North Africa,1,1
Jaish al-Mujahideen (Syria)_Middle East & North Africa,Middle East & North Africa,2,2
Jaish al-Mukhtar_Middle East & North Africa,Middle East & North Africa,1,1
Jaish al-Muslimin (Army of the Muslims)_South Asia,South Asia,2,2
Jaish al-Sunnah_Middle East & North Africa,Middle East & North Africa,2,2
Jaish al-Ta'ifa al-Mansura_Middle East & North Africa,Middle East & North Africa,2,2
Jaish al-Umar (JaU)_South Asia,South Asia,1,1
Jaish Al-Umma (Army of the Nation)_Middle East & North Africa,Middle East & North Africa,1,1
Jaish as-Saiyouf (Army of Swords)_South Asia,South Asia,1,1
Jaish Tahkim al-Din_Middle East & North Africa,Middle East & North Africa,1,1
Jaish Usama_South Asia,South Asia,2,2
Jaish-e-Islam_South Asia,South Asia,23,24
Jaish-e-Khorasan (JeK)_South Asia,South Asia,2,2
Jaish-e-Mohammad (Iraq)_Middle East & North Africa,Middle East & North Africa,1,1
Jaish-e-Mohammad (JeM)_South Asia,South Asia,33,37
Jaljala Army_Middle East & North Africa,Middle East & North Africa,1,1
Jamaah Ansharut Daulah_Southeast Asia,Southeast Asia,11,15
Jamaah Ansharut Tauhid (JAT)_Southeast Asia,Southeast Asia,7,8
Jamaat Nusrat al-Islam wal Muslimin (JNIM)_Sub-Saharan Africa,Sub-Saharan Africa,53,59
Jamaat Tauhid Wal Jihad (Pakistan)_South Asia,South Asia,1,1
Jamaat-E-Islami (Bangladesh)_South Asia,South Asia,52,58
Jamaat-E-Islami (India/Pakistan)_South Asia,South Asia,3,4
Jama'atul Mujahideen Bangladesh (JMB)_South Asia,South Asia,35,38
Jamaat-ul-Ahrar_South Asia,South Asia,17,18
Jamiat ul-Mujahedin (JuM)_South Asia,South Asia,8,9
Jammu and Kashmir Islamic Front_South Asia,South Asia,2,2
Janatantrik Terai Madhes Mukti Party- Bhagat Singh (JTMMP)_South Asia,South Asia,0,1
Janatantrik Terai Madhesh Mukti Morcha (JTMMM)_South Asia,South Asia,6,8
Janatantrik Terai Mukti Morcha (JTMM)_South Asia,South Asia,31,32
Janatantrik Terai Mukti Morcha- Bisphot Singh (JTMM-B)_South Asia,South Asia,3,3
Janatantrik Terai Mukti Morcha- Goit (JTMM-G)_South Asia,South Asia,28,34
Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J)_South Asia,South Asia,74,78
Janatantrik Terai Mukti Morcha- Prithvi Singh (JTMM-P)_South Asia,South Asia,2,2
Janatantrik Terai Mukti Morcha- Rajan Mukti (JTMM-R)_South Asia,South Asia,13,14
Janatantrik Terai Mukti Morcha- Ranbir Singh (JTMM-RS)_South Asia,South Asia,1,1
Janatantrik Tiger Janashakti Party_South Asia,South Asia,1,1
Janjaweed_Sub-Saharan Africa,Sub-Saharan Africa,210,213
Jaysh al-Islam (Syria)_Middle East & North Africa,Middle East & North Africa,31,31
Jemaah Islamiya (JI)_Southeast Asia,Southeast Asia,58,76
Jenin Martyrs Brigades_Middle East & North Africa,Middle East & North Africa,1,1
Jerusalem Groups Hebrew (Qvutzot Yerushalayim)_Middle East & North Africa,Middle East & North Africa,1,1
Jewish Defense League (JDL)_Western Europe,Western Europe,2,2
Jewish Extremists_Middle East & North Africa,Middle East & North Africa,4,4
Jharkhand Bachao Aandolan_South Asia,South Asia,1,1
Jharkhand Janmukti Parishad (JJP)_South Asia,South Asia,5,5
Jharkhand Kranti Raksha Dal (Utari Chotanagpur)_South Asia,South Asia,1,1
Jharkhand Liberation Tigers (JLT)_South Asia,South Asia,7,7
Jharkhand Prastuti Committee (JPC)_South Asia,South Asia,4,4
Jharkhand Sangharsh Jan Mukti Morcha_South Asia,South Asia,2,2
Jihadi Movement of the Sunna People of Iran_Middle East & North Africa,Middle East & North Africa,1,1
Jihadi-inspired extremists_Middle East & North Africa,Middle East & North Africa,0,1
Jihadi-inspired extremists_Sub-Saharan Africa,Sub-Saharan Africa,0,1
Jihadi-inspired extremists_Southeast Asia,Southeast Asia,1,3
Jihadi-inspired extremists_Eastern Europe,Eastern Europe,0,1
Jihadi-inspired extremists_Western Europe,Western Europe,36,46
Jihadi-inspired extremists_North America,North America,35,37
Jihadi-inspired extremists_Australasia & Oceania,Australasia & Oceania,6,6
Jihadist Soldiers_Middle East & North Africa,Middle East & North Africa,1,1
Joint Meeting Parties (JMP)_Middle East & North Africa,Middle East & North Africa,1,1
Jordanian extremists_Middle East & North Africa,Middle East & North Africa,1,1
Jordanian Islamic Resistance_Middle East & North Africa,Middle East & North Africa,1,1
Juarez Cartel (Carrillo-Fuentes / Mexico)_North America,North America,1,1
Jumuiya ya Taasisi za Kiislam (Community of Muslim Organizations)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Junaid Jihadist Battalion_Middle East & North Africa,Middle East & North Africa,1,1
Jund al-Aqsa_Middle East & North Africa,Middle East & North Africa,1,5
Jund al-Islam_Middle East & North Africa,Middle East & North Africa,1,1
Jund al-Khilafa_Middle East & North Africa,Middle East & North Africa,1,1
Jund al-Khilafah (Tunisia)_Middle East & North Africa,Middle East & North Africa,10,10
Jund al-Sahabah Group_Middle East & North Africa,Middle East & North Africa,1,1
Jund al-Sham for Tawhid and Jihad_Middle East & North Africa,Middle East & North Africa,7,9
Jund Al-Tawid_Middle East & North Africa,Middle East & North Africa,1,1
Jund Ansar Allah_Middle East & North Africa,Middle East & North Africa,1,1
Jundallah (Iran)_Middle East & North Africa,Middle East & North Africa,13,13
Jundallah (Pakistan)_South Asia,South Asia,17,20
Jundul Khilafah (Philippines)_Southeast Asia,Southeast Asia,2,2
Just Punishment Brigades_Middle East & North Africa,Middle East & North Africa,1,1
Justice and Equality Movement (JEM)_Middle East & North Africa,Middle East & North Africa,3,3
Justice and Equality Movement (JEM)_Sub-Saharan Africa,Sub-Saharan Africa,18,18
Justicieros de la Frontera_South America,South America,1,1
Kach_Middle East & North Africa,Middle East & North Africa,1,1
Kachin Independence Army (KIA)_Southeast Asia,Southeast Asia,27,30
Kamtapur Liberation Organization (KLO)_South Asia,South Asia,13,15
Kamwina Nsapu Militia_Sub-Saharan Africa,Sub-Saharan Africa,19,21
Kanglei Yawol Kanna Lup (KYKL)_South Asia,South Asia,9,9
Kangleipak Communist Party (KCP)_South Asia,South Asia,28,39
Kani Brigade_Middle East & North Africa,Middle East & North Africa,4,4
Kara clan_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Karabulak Gang_Eastern Europe,Eastern Europe,1,1
Karamojong Warriors_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Karbi Longri National Liberation Front (KLNLF)_South Asia,South Asia,2,2
Karbi Longri North Cachar Liberation Front (KLNLF)_South Asia,South Asia,12,15
Karbi National Volunteers (KNV)_South Asia,South Asia,3,3
Karbi People's Liberation Tigers (KPLT)_South Asia,South Asia,19,20
Karbi Tribe_South Asia,South Asia,1,1
Karen National Union_Southeast Asia,Southeast Asia,29,32
Karenni National Progressive Party_Southeast Asia,Southeast Asia,1,1
Kashmir Freedom Force_South Asia,South Asia,1,1
Kashmiri extremists_South Asia,South Asia,2,2
Kata'ib al-Imam Ali_Middle East & North Africa,Middle East & North Africa,1,1
Kata'ib al-Khoul_Eastern Europe,Eastern Europe,2,2
Kata'ib Hezbollah_Middle East & North Africa,Middle East & North Africa,6,7
Kawal ng Pilipinas (Soldier of the Philippines)_Southeast Asia,Southeast Asia,1,1
Khaled Ibn al-Walid Army_Middle East & North Africa,Middle East & North Africa,2,2
Khalid ibn Walid Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Khalistan Liberation Force_South Asia,South Asia,5,9
Kharkiv Partisans_Eastern Europe,Eastern Europe,5,5
Khasi Students Union_South Asia,South Asia,9,10
